,budget,method,expected_return,standard_deviation,sharpe,value,deficit
0,10000.0,qp,0.09444668485432102,1.1204894178437164,0.08429056388241077,10000.0,0.0
1,10000.0,slsqp,0.09439897702665738,1.1199244892779108,0.08429048380531676,10000.000000000002,-1.8189894035458565e-12
2,100000.0,qp,0.09444668485432102,1.1204894178437164,0.08429056388241077,100000.0,0.0
3,100000.0,slsqp,0.09439897702665738,1.1199244892779108,0.08429048380531676,100000.00000000001,-1.4551915228366852e-11
4,1000000.0,qp,0.09444668485432102,1.1204894178437164,0.08429056388241077,999999.9999999999,1.1641532182693481e-10
5,1000000.0,slsqp,0.09439897702665738,1.1199244892779108,0.08429048380531676,1000000.0,0.0
6,10000000.0,qp,0.09444668485432102,1.1204894178437164,0.08429056388241077,10000000.0,0.0
7,10000000.0,slsqp,0.09439897702665738,1.1199244892779108,0.08429048380531676,10000000.000000002,-1.862645149230957e-09
8,100000000.0,qp,0.09444668485432102,1.1204894178437164,0.08429056388241077,100000000.0,0.0
9,100000000.0,slsqp,0.09439897702665738,1.1199244892779108,0.08429048380531676,100000000.0,0.0
